date,symbol,discount_pct,days_to_maturity,liquidity_bucket,decision_flag
2026-02-24,NSIF2,-9.29,2381,high,IGNORE
2026-02-24,PRSF,-7.57,2210,medium,IGNORE
2026-02-24,PSF,-8.48,848,medium,CONSIDER
2026-02-24,RBBF40,-3.71,4279,low,IGNORE
2026-02-24,RMF1,-5.69,880,medium,CONSIDER
2026-02-24,RMF2,-9.8,2643,low,IGNORE
2026-02-24,RSY,-7.04,3354,medium,IGNORE
2026-02-24,SAGF,-5.53,2833,medium,IGNORE
2026-02-24,SBCF,-14.02,1856,high,IGNORE
2026-02-24,SEF,-3.99,622,medium,IGNORE
2026-02-24,SFEF,-16.54,2179,low,IGNORE
2026-02-24,SFMF,-9.12,1349,high,CONSIDER
2026-02-24,SIGS2,-6.92,1279,low,IGNORE
2026-02-24,SIGS3,-5.57,2622,high,IGNORE
2026-02-24,SLCF,-6.03,729,medium,CONSIDER
2026-02-25,C30MF,-8.98,2635,low,IGNORE
2026-02-25,CMF2,1.39,133,medium,IGNORE
2026-02-25,GBIMESY2,-4.79,3430,medium,IGNORE
2026-02-25,GIBF1,-8.82,2345,high,IGNORE
2026-02-25,GSY,-6.24,3233,medium,IGNORE
2026-02-25,H8020,-1.43,2775,medium,IGNORE
2026-02-25,HLICF,-5.08,3489,medium,IGNORE
2026-02-25,KDBY,-7.67,2342,medium,IGNORE
2026-02-25,KEF,-8.13,1847,medium,IGNORE
2026-02-25,KSY,-9.06,2944,low,IGNORE
2026-02-25,LUK,-16.21,1631,medium,IGNORE
2026-02-25,LVF2,-16.65,2747,medium,IGNORE
2026-02-25,MBLEF,-7.29,4048,high,IGNORE
2026-02-25,MMF1,2.09,2021,medium,IGNORE
2026-02-25,MNMF1,-4.3,3219,high,IGNORE
2026-02-25,NBF2,-6.91,1191,high,CONSIDER
2026-02-25,NBF3,-6.86,2036,high,IGNORE
2026-02-25,NIBLGF,-5.02,2518,low,IGNORE
2026-02-25,NIBLSTF,-6.36,3634,medium,IGNORE
2026-02-25,NIBSF2,-7.67,1919,medium,IGNORE
2026-02-25,NICBF,-4.38,1279,low,IGNORE
2026-02-25,NICFC,-8.18,1206,high,CONSIDER
2026-02-25,NICGF2,-7.3,1729,low,IGNORE
2026-02-25,NICSF,-4.61,861,medium,CONSIDER
2026-02-25,NMB50,0.78,188,high,IGNORE
2026-02-25,NMBHF2,-6.17,3289,low,IGNORE
2026-02-25,NSIF2,-10.4,2380,low,IGNORE
2026-02-25,PRSF,-7.4,2209,high,IGNORE
2026-02-25,PSF,-8.15,847,medium,CONSIDER
2026-02-25,RBBF40,-7.12,4278,medium,IGNORE
2026-02-25,RMF1,-3.99,879,high,IGNORE
2026-02-25,RMF2,-8.12,2642,medium,IGNORE
2026-02-25,RSY,-6.01,3353,medium,IGNORE
2026-02-25,SAGF,-3.72,2832,medium,IGNORE
2026-02-25,SBCF,-16.14,1855,low,IGNORE
2026-02-25,SEF,-4.69,621,high,CONSIDER
2026-02-25,SFEF,-15.92,2178,high,IGNORE
2026-02-25,SFMF,-9.2,1348,low,IGNORE
2026-02-25,SIGS2,-5.09,1278,medium,CONSIDER
2026-02-25,SIGS3,-7.43,2621,low,IGNORE
2026-02-25,SLCF,-6.52,728,medium,CONSIDER
2026-02-26,C30MF,-8.02,2634,medium,IGNORE
2026-02-26,CMF2,1.99,132,low,IGNORE
2026-02-26,GBIMESY2,-5.09,3429,medium,IGNORE
2026-02-26,GIBF1,-9.08,2344,low,IGNORE
2026-02-26,GSY,-5.84,3232,high,IGNORE
2026-02-26,H8020,-3.19,2774,low,IGNORE
2026-02-26,HLICF,-5.81,3488,low,IGNORE
2026-02-26,KDBY,-8.77,2341,high,IGNORE
2026-02-26,KEF,-7.74,1846,medium,IGNORE
2026-02-26,KSY,-9.16,2943,low,IGNORE
2026-02-26,LUK,-15.95,1630,medium,IGNORE
2026-02-26,LVF2,-14.99,2746,high,IGNORE
2026-02-26,MBLEF,-7.29,4047,medium,IGNORE
2026-02-26,MMF1,-0.21,2020,high,IGNORE
2026-02-26,MNMF1,-5.67,3218,medium,IGNORE
2026-02-26,NBF2,-7.39,1190,high,CONSIDER
2026-02-26,NBF3,-6.76,2035,high,IGNORE
2026-02-26,NIBLGF,-6.24,2517,low,IGNORE
2026-02-26,NIBLSTF,-7.18,3633,medium,IGNORE
